Player,Season,Assists Score
John Stockton,1990,1164
John Stockton,1989,1134
John Stockton,1987,1128
John Stockton,1991,1126
Isiah Thomas,1984,1123
John Stockton,1988,1118
Kevin Porter,1978,1099
John Stockton,1993,1031
John Stockton,1994,1011
Kevin Johnson,1988,991
Magic Johnson,1990,989
Magic Johnson,1988,988
John Stockton,1992,987
Magic Johnson,1986,977
Magic Johnson,1984,968
Mark Jackson,1996,935
Chris Paul,2007,925
John Stockton,1995,916
Norm Nixon,1983,914
Isiah Thomas,1983,914
Nate Archibald,1972,910
Guy Rodgers,1966,908
Magic Johnson,1985,907
Magic Johnson,1989,907
James Harden,2016,907
Oscar Robertson,1961,899
Steve Nash,2007,898
Steve Nash,2009,892
Steve Nash,2006,884
Andre Miller,2001,882
Magic Johnson,1983,875
Oscar Robertson,1963,868
Mark Jackson,1987,868
Muggsy Bogues,1989,867
Deron Williams,2007,862
Oscar Robertson,1964,861
Steve Nash,2004,861
Chris Paul,2008,861
John Stockton,1996,860
Magic Johnson,1987,858
Steve Nash,2010,855
Sleepy Floyd,1986,848
Oscar Robertson,1965,847
Guy Rodgers,1965,846
Kevin Johnson,1989,846
Oscar Robertson,1966,845
Russell Westbrook,2016,840
Rajon Rondo,2015,839
Chris Paul,2014,838
Kevin Johnson,1991,836
Russell Westbrook,2015,834
Norm Van Lier,1970,832
Micheal Ray Richardson,1979,832
Terry Porter,1987,831
John Wall,2016,831
Isiah Thomas,1985,830
Magic Johnson,1982,829
Steve Nash,2005,826
Guy Rodgers,1962,825
Doc Rivers,1986,823
Russell Westbrook,2017,820
Johnny Moore,1984,816
Isiah Thomas,1986,813
Jason Kidd,2001,808
Tim Hardaway,1991,807
Jason Kidd,2007,806
Rod Strickland,1997,801
Deron Williams,2009,798
Rajon Rondo,2009,794
Tim Hardaway,1990,793
John Wall,2014,792
Avery Johnson,1995,789
Mookie Blaylock,1993,789
John Wall,2015,789
Reggie Theus,1985,788
Kenny Anderson,1993,784
Russell Westbrook,2018,784
Jason Kidd,1995,783
Chris Paul,2010,782
Kevin Johnson,1990,781
Muggsy Bogues,1993,780
Oscar Robertson,1968,772
Terry Porter,1988,770
John Lucas,1977,768
Lenny Wilkens,1971,766
Isiah Thomas,1989,765
Russell Westbrook,2020,763
John Lucas,1978,762
Johnny Moore,1981,762
Rajon Rondo,2010,760
Oscar Robertson,1962,758
Maurice Cheeks,1985,753
Johnny Moore,1982,753
Jason Kidd,2000,753
Rickey Green,1983,748
Jerry West,1971,747
Doc Rivers,1987,747
LeBron James,2017,747
Sleepy Floyd,1985,746
Jason Kidd,1997,745
Deron Williams,2006,745
Magic Johnson,1981,743
Muggsy Bogues,1991,743
Trae Young,2022,741
Rod Strickland,1993,740
Chris Paul,2015,738
Norm Nixon,1978,737
Gary Payton,2001,737
Trae Young,2021,737
Jason Kidd,2006,736
John Bagley,1985,735
Scott Skiles,1992,735
Kevin Porter,1980,734
Pooh Richardson,1990,734
Gary Payton,1999,732
Sam Cassell,1999,729
Rod Strickland,1996,727
Terry Porter,1989,726
Deron Williams,2008,725
Mark Jackson,1992,724
Jason Kidd,2009,724
John Wall,2013,721
Ty Lawson,2014,720
Stephon Marbury,2003,719
Steve Nash,2008,717
Bob Cousy,1959,715
Terry Porter,1986,715
Nick Van Exel,1999,714
John Stockton,2000,713
Mark Jackson,1997,713
Norm Nixon,1984,711
Muggsy Bogues,1992,711
Jason Kidd,2002,711
Sleepy Floyd,1988,709
Damon Stoudamire,1996,709
Stephon Marbury,1997,704
Greivis Vasquez,2012,704
Ricky Rubio,2013,704
John Stockton,1999,703
Wilt Chamberlain,1967,702
Nate McMillan,1987,702
Jason Kidd,2008,702
Chris Paul,2021,702
Nate Archibald,1971,701
Tim Hardaway,1992,699
Chauncey Billups,2005,699
Baron Davis,2001,698
Rickey Green,1982,697
John Bagley,1984,697
Norm Nixon,1980,696
Nate McMillan,1988,696
Tim Hardaway,1996,695
Mark Jackson,1991,694
Michael Adams,1990,693
Reggie Theus,1986,692
Oscar Robertson,1960,690
Tim Hardaway,1989,689
Steve Nash,2003,687
Don Buse,1976,685
Pooh Richardson,1991,685
Mike Bibby,2000,685
LeBron James,2019,684
Lenny Wilkens,1969,683
Sherman Douglas,1993,683
Ricky Rubio,2016,682
Phil Ford,1978,681
Kenny Anderson,1994,680
Lenny Wilkens,1967,679
Gary Payton,1997,679
Isiah Thomas,1987,678
Mark Jackson,1993,678
Jason Kidd,1999,678
Chris Paul,2012,678
Jose Calderon,2007,678
Nikola Jokic,2022,678
Guy Rodgers,1960,677
Gus Williams,1983,675
Muggsy Bogues,1994,675
Lenny Wilkens,1968,674
John Stockton,2001,674
Andre Miller,2005,674
John Lucas,1983,673
Tim Hardaway,1997,672
Nick Van Exel,1996,672
Jason Kidd,2005,672
Nate Archibald,1979,671
Isiah Thomas,1992,671
Mookie Blaylock,1992,671
John Stockton,1986,670
Avery Johnson,1994,670
Russell Westbrook,2010,670
Micheal Ray Richardson,1984,669
Muggsy Bogues,1990,669
Oscar Robertson,1970,668
Stephon Marbury,2004,668
Maurice Cheeks,1981,667
Deron Williams,2010,667
James Harden,2021,667
Mark Price,1989,666
Stephon Marbury,2001,666
Stephen Curry,2013,666
Mike Bibby,1999,665
Steve Nash,2011,664
Ernie DiGregorio,1973,663
Isiah Thomas,1988,663
Gary Payton,2002,663
Chris Paul,2013,663
Ennis Whatley,1983,662
Slick Watts,1975,661
Mark Jackson,2000,661
Micheal Williams,1992,661
Ben Simmons,2017,661
Scott Skiles,1990,660
Nick Van Exel,1994,660
Rajon Rondo,2008,659
Ricky Rubio,2015,658
Andre Miller,2000,657
Reggie Theus,1984,656
Brevin Knight,1997,656
Jerry West,1970,655
Jason Kidd,2010,655
Lenny Wilkens,1970,654
Lafayette Lever,1986,654
Stephon Marbury,2002,654
Kevin Johnson,1996,653
Damon Stoudamire,1995,653
Trae Young,2018,653
Norm Nixon,1981,652
Darrell Walker,1989,652
Russell Westbrook,2009,652
LeBron James,2009,651
Kevin Porter,1974,650
Michael Jordan,1988,650
Mark Jackson,1999,650
Terry Porter,1990,649
Micheal Williams,1991,647
Jamaal Tinsley,2001,647
LeBron James,2016,646
Guy Rodgers,1961,643
Gus Williams,1982,643
Bob Cousy,1955,642
Norm Nixon,1979,642
Gary Payton,2000,642
Rod Strickland,1995,640
Tim Hardaway,1995,640
Lafayette Lever,1987,639
Jeff Teague,2016,639
Dave Bing,1972,637
Kevin Johnson,1993,637
Norm Van Lier,1976,636
Walt Frazier,1968,635
Maurice Cheeks,1987,635
Mark Jackson,1995,635
Isiah Thomas,1982,634
Derek Harper,1987,634
Steve Nash,2001,634
Oscar Robertson,1967,633
Jay Humphries,1986,632
Pooh Richardson,1994,632
Mark Price,1988,631
Jason Williams,2002,631
Wilt Chamberlain,1966,630
Slick Watts,1976,630
Rickey Green,1981,630
James Harden,2017,630
Walt Frazier,1969,629
John Stockton,2002,629
Terrell Brandon,1999,629
Lenny Wilkens,1972,628
Tyrese Haliburton,2021,628
Micheal Ray Richardson,1980,627
Dejounte Murray,2021,627
Andre Miller,2006,625
Raymond Felton,2010,625
Jrue Holiday,2012,625
Clem Haskins,1969,624
Sherman Douglas,1990,624
Eric Snow,1999,624
Paul Pressey,1985,623
Baron Davis,2007,623
Derrick Rose,2010,623
Stephon Marbury,1999,622
Chris Paul,2020,622
Kenny Smith,1988,621
Muggsy Bogues,1988,620
Rajon Rondo,2011,620
Mark Jackson,1988,619
Sherman Douglas,1989,619
Dana Barros,1994,619
Stephen Curry,2014,619
Nate Archibald,1980,618
Jason Kidd,2003,618
James Harden,2022,618
Mark Jackson,1994,616
Mookie Blaylock,1994,616
Nate Archibald,1975,615
John Havlicek,1971,614
Lafayette Lever,1984,613
James Harden,2015,612
Chris Paul,2005,611
Dave Bing,1974,610
Phil Ford,1979,610
Larry Drew,1982,610
Vern Fleming,1989,610
John Stockton,1985,610
Brevin Knight,2005,610
Ben Simmons,2018,610
Derek Harper,1986,609
Derek Harper,1989,609
Brandon Jennings,2013,609
Gus Williams,1984,608
Gary Payton,1995,608
Jerry West,1972,607
John Havlicek,1970,607
Foots Walker,1979,607
Jason Kidd,1994,607
Jose Calderon,2008,607
Russell Westbrook,2012,607
Gail Goodrich,1969,605
Mark Jackson,2001,605
Jose Calderon,2010,605
Lester Conner,1988,604
Mark Jackson,1989,604
Deron Williams,2012,604
Calvin Murphy,1973,603
Eric Murdock,1992,603
Sam Cassell,1997,603
John Lucas,1979,602
Mark Price,1992,602
Brian Shaw,1990,602
Johnny Dawkins,1989,601
Sleepy Floyd,1989,600
Clyde Drexler,1985,600
Nick Van Exel,2000,600
Jason Terry,2002,600
Nikola Jokic,2020,599
Dennis Johnson,1987,598
Nate McMillan,1989,598
Steve Nash,2002,598
Baron Davis,2000,598
Baron Davis,2009,598
Draymond Green,2015,598
Rickey Green,1984,597
Calvin Murphy,1975,596
Allen Iverson,2004,596
T.J. Ford,2006,595
Dennis Johnson,1986,594
Michael Adams,1991,594
Trae Young,2020,594
Sedale Threatt,1991,593
Kevin Porter,1976,592
Sam Cassell,2003,592
Avery Johnson,1997,591
Brevin Knight,2004,591
Geoff Huston,1981,590
De'Aaron Fox,2018,590
Mark Price,1993,589
Jason Williams,1999,589
Dwyane Wade,2008,589
Bob Cousy,1960,587
Gary Grant,1990,587
LeBron James,2008,587
Allen Iverson,2007,586
Kyle Lowry,2013,586
James Harden,2018,586
Tyrese Haliburton,2022,585
Bob Cousy,1961,584
Ricky Sobers,1977,584
Lafayette Lever,1985,584
Kenny Anderson,1996,584
Nikola Jokic,2021,584
Nate McMillan,1986,583
Gary Payton,1994,583
Gary Payton,1996,583
