Player,1pct,0to0_5,0_5to1
Dave Gambee,1,10,0
Tommy Kearns,1,0,0
Walt Bellamy,1,2,8
Mel Peterson,1,0,0
Dave Scholz,1,0,0
Milt Williams,1,2,0
Kent Benson,1,6,4
Tom Chambers,1,13,2
Carl Bailey,1,0,0
Chuck Nevitt,1,6,1
Steve Lingenfelter,1,0,1
Darrell Lockhart,1,0,0
David Wingate,1,13,1
Cozell McQueen,1,0,0
Dave Hoppen,1,3,2
Tod Murphy,1,3,1
Chucky Brown,1,8,4
Ian Lockhart,1,0,0
Mike Peplowski,1,0,2
Chad Gallagher,1,0,0
Carlos Rogers,1,0,7
Anthony Parker,1,8,0
Jelani McCoy,1,1,5
Jerome James,1,7,1
Mikki Moore,1,5,7
Tyson Wheeler,1,0,0
Ryan Bowen,1,7,2
Ira Bowman,1,0,1
Donnell Harvey,1,3,1
Jason Hart,1,6,2
Joe Johnson,1,17,0
Eddy Curry,1,3,7
Dajuan Wagner,1,3,0
Udonis Haslem,1,13,6
Kaniel Dickens,1,2,0
Andris Biedrins,1,1,8
Jackie Butler,1,1,1
Matt Walsh,1,0,0
Randy Holcomb,1,0,0
Marcus Williams,1,5,0
Tyrus Thomas,1,7,0
Steven Hill,1,0,0
Trey Gilder,1,0,0
Jeremy Evans,1,0,6
Julyan Stone,1,3,0
DeAndre Liggins,1,4,0
Jarnell Stokes,1,0,2
Eric Moreland,1,1,2
Anthony Brown,1,2,0
Rakeem Christmas,1,1,0
Patrick McCaw,1,4,0
Zhou Qi,1,1,0
Naz Mitrou-Long,1,2,0
Edmond Sumner,1,3,1
Jordan Sibert,1,0,0
Kostas Antetokounmpo,1,1,0
Chris Silva,1,0,3
Tyrell Terry,1,1,0
Braxton Key,1,1,0
Ahmad Caver,1,0,0
Jaden Springer,1,1,0
Paul Arizin,0,9,0
George Mikan,0,4,0
Bob Cousy,0,13,0
Ed Macauley,0,8,0
Bob Davies,0,4,0
Frank Brian,0,5,0
Larry Foust,0,11,0
Bobby Wanzer,0,6,0
Arnie Risen,0,7,0
Vern Mikkelsen,0,8,0
Jim Pollard,0,4,0
Freddie Scolari,0,4,0
Max Zaslofsky,0,5,0
Joe Fulks,0,3,0
Joe Graboski,0,11,0
Fred Schaus,0,3,0
Dolph Schayes,0,13,0
Red Rocha,0,5,0
Leo Barnhorst,0,3,0
Andy Phillip,0,7,0
Don Barksdale,0,4,0
Stan Miasek,0,2,0
Don Otten,0,2,0
Harry Gallatin,0,7,0
Thomas Eddleman,0,2,0
Jack Coleman,0,7,0
Dick Mehen,0,1,0
Bill Sharman,0,10,0
Paul Walther,0,4,0
George King,0,6,0
Nat Clifton,0,7,0
Arnie Johnson,0,2,0
Don Boven,0,2,0
Bob Lavoy,0,3,0
Connie Simmons,0,5,0
Slater Martin,0,9,0
Bill Tosheff,0,3,0
Mel Hutchins,0,7,0
Frank Kudelka,0,2,0
Paul Seymour,0,8,0
Dick McGuire,0,9,0
Jack Kerris,0,2,0
Buckshot O'Brien,0,2,0
Odie Spears,0,6,0
Bob Donham,0,3,0
Chuck Cooper,0,5,0
Noble Jorgensen,0,2,0
Ernie Vandeweghe,0,4,0
David Johnson,0,2,0
Ed Mikan,0,3,0
Bob Harris,0,3,0
Vince Boryla,0,3,0
George Ratkovicz,0,4,0
Wally Osterkorn,0,4,0
Billy Gabor,0,4,0
George Senesky,0,3,0
Dave Minor,0,2,0
Ray Lumpp,0,2,0
Don Lofgran,0,3,0
Kevin O'Shea,0,2,0
Alex Hannum,0,6,0
Frank Saul,0,4,0
Wallace Jones,0,1,0
Al Cervi,0,2,0
Bob Brannum,0,4,0
Bob Harrison,0,7,0
Bill Calhoun,0,4,0
Neil Johnston,0,8,0
Bill Closs,0,1,0
Horace McKinney,0,1,0
George Kaftan,0,2,0
Nelson Bobb,0,2,0
Dillard Crocker,0,2,0
Gerry Calabrese,0,1,0
Red Holzman,0,3,0
Howie Schultz,0,2,0
Don Rehfeldt,0,1,0
Walter Budko,0,1,0
Charlie Share,0,9,0
Bob Wilson,0,1,0
Whitey Skoog,0,6,0
James Owens,0,1,0
Joe Holland,0,1,0
Lew Hitch,0,6,0
Al McGuire,0,3,0
Brady Walker,0,1,0
Jake Fendley,0,2,0
John Mahnken,0,2,0
Joe McNamee,0,1,0
Vern Gardner,0,1,0
Joe Hutton,0,1,0
Jim Slaughter,0,1,0
Mel Payton,0,2,0
Dick Dickey,0,1,0
Cliff Barker,0,1,0
Jack Kiley,0,2,0
Walt Kirk,0,1,0
Art Burris,0,1,0
Cal Christensen,0,4,0
Sam Ranzino,0,1,0
Ray Ragelis,0,1,0
Nate DeLong,0,1,0
Stan Brown,0,1,0
Herb Scherer,0,1,0
Don Savage,0,2,0
Ed Dahler,0,1,0
Gene Vance,0,1,0
Charlie Black,0,1,0
Elmer Behnke,0,1,0
John McConathy,0,1,0
John Rennicke,0,1,0
Jerry Fowler,0,1,0
Paul Noel,0,1,0
John Pilch,0,1,0
Zeke Sinicola,0,2,0
Jack Nichols,0,6,0
Carl Braun,0,10,0
Eddie Miller,0,2,0
Don Meineke,0,5,0
"Bear, The Body Hoffman",0,3,0
Jim Baechtold,0,5,0
Don Henriksen,0,2,0
Jack McMahon,0,8,0
Earl Lloyd,0,8,0
Johnny Payak,0,1,0
Al Masino,0,2,0
Danny Finn,0,3,0
Gene Rhodes,0,1,0
Mark Workman,0,2,0
Dick Groat,0,1,0
Jerry Fleishman,0,1,0
Jim Holstein,0,4,0
Bob Lochmueller,0,1,0
Ralph Polson,0,1,0
Robert Zawoluk,0,3,0
Bill Mlkvy,0,1,0
Jim Mooney,0,1,0
Kenny Rollins,0,1,0
Dick Bunt,0,1,0
Gene Conley,0,6,0
Paul McConnell,0,1,0
Claude Overton,0,1,0
Dick Surhoff,0,2,0
Bob Priddy,0,1,0
Don Hanrahan,0,1,0
John O'Boyle,0,1,0
George Feigenbaum,0,1,0
Moe Radovich,0,1,0
Francis Mahoney,0,1,0
George McLeod,0,1,0
Mike O'Neill,0,1,0
Clarence Hermsen,0,1,0
Henry Darcey,0,1,0
Ray Corley,0,1,0
Sherwin Raiken,0,1,0
Andrew Levane,0,1,0
Jack McCloskey,0,1,0
Blaine Denning,0,1,0
Bob Naber,0,0,0
Ray Felix,0,9,0
Don Sunderlage,0,2,0
Jack George,0,8,0
Bob Houbregs,0,5,0
Clyde Lovellette,0,11,0
Al Roges,0,2,0
George Yardley,0,7,0
Irv Bemoras,0,2,0
Rollen Hans,0,1,0
Bill Kenville,0,6,0
Walt Davis,0,5,0
Jack Molinas,0,1,0
Dick Schnittker,0,5,0
Jim Neal,0,1,0
Jim Fritsche,0,2,0
Ken Murray,0,2,0
Ernie Barrett,0,2,0
Joe Smyth,0,1,0
Ernie Beck,0,7,0
Norm Swanson,0,1,0
Jim Luisi,0,1,0
Hal Uplinger,0,1,0
Bato Govedarica,0,1,0
Bill Bolger,0,1,0
Donald Ackerman,0,1,0
Ed Smith,0,1,0
Connie Rea,0,1,0
Gene Dyker,0,1,0
Bob Peterson,0,3,0
Dick Knostman,0,1,0
