Player Name,Rebounds score,Team ID
Wilt Chamberlain,2149,1610612744
Wilt Chamberlain,1957,1610612755
Bill Russell,1930,1610612738
Wilt Chamberlain,1712,1610612747
Jerry Lucas,1668,1610612758
Bob Pettit,1540,1610612737
Dennis Rodman,1530,1610612765
Walt Bellamy,1500,1610612764
Moses Malone,1444,1610612745
Dennis Rodman,1367,1610612759
Kareem Abdul-Jabbar,1346,1610612749
Truck Robinson,1288,1610612762
DeAndre Jordan,1226,1610612746
Dennis Rodman,1201,1610612741
Willis Reed,1191,1610612752
Dwight Howard,1161,1610612753
Kevin Garnett,1139,1610612750
Hassan Whiteside,1088,1610612748
Dikembe Mutombo,1070,1610612743
Jack Sikma,1038,1610612760
Buck Williams,1027,1610612751
Paul Silas,1015,1610612756
Dwight Howard,1012,1610612766
James Donaldson,973,1610612742
Lloyd Neal,967,1610612757
Ray Felix,958,1610610024
Zach Randolph,950,1610612763
Tyson Chandler,928,1610612740
Jim Brewer,891,1610612739
Troy Murphy,861,1610612754
Donyell Marshall,808,1610612761
Joe Graboski,687,1610610030
