Player,Season,Average Score
Wilt Chamberlain,1961,50.3625
Wilt Chamberlain,1962,44.825
Wilt Chamberlain,1960,38.392405063291136
Elgin Baylor,1961,38.25
Wilt Chamberlain,1959,37.59722222222222
Michael Jordan,1986,37.08536585365854
Wilt Chamberlain,1963,36.85
James Harden,2018,36.12820512820513
Rick Barry,1966,35.57692307692308
Kobe Bryant,2005,35.4
Michael Jordan,1987,34.97560975609756
Kareem Abdul-Jabbar,1971,34.839506172839506
Elgin Baylor,1960,34.76712328767123
Wilt Chamberlain,1964,34.71232876712329
Bob McAdoo,1974,34.52439024390244
James Harden,2019,34.338235294117645
Elgin Baylor,1962,33.9875
Nate Archibald,1972,33.9875
Michael Jordan,1989,33.573170731707314
Wilt Chamberlain,1965,33.53164556962025
George Gervin,1979,33.14102564102564
Joel Embiid,2022,33.07575757575758
Allen Iverson,2005,33.013888888888886
Bernard King,1984,32.89090909090909
Michael Jordan,1992,32.57692307692308
Michael Jordan,1988,32.50617283950617
Luka Doncic,2022,32.39393939393939
George Gervin,1981,32.29113924050633
Damian Lillard,2022,32.172413793103445
Tracy McGrady,2002,32.093333333333334
Kevin Durant,2013,32.01234567901235
Stephen Curry,2020,31.984126984126984
Kareem Abdul-Jabbar,1970,31.658536585365855
Walt Bellamy,1961,31.582278481012658
Russell Westbrook,2016,31.580246913580247
Kobe Bryant,2006,31.558441558441558
Michael Jordan,1990,31.463414634146343
Shai Gilgeous-Alexander,2022,31.397058823529413
Oscar Robertson,1963,31.39240506329114
Allen Iverson,2001,31.383333333333333
LeBron James,2005,31.367088607594937
Jerry West,1965,31.341772151898734
Bradley Beal,2020,31.3
Oscar Robertson,1965,31.289473684210527
Jerry West,1969,31.2027027027027
Jack Twyman,1959,31.173333333333332
Bob Pettit,1961,31.141025641025642
Pete Maravich,1976,31.136986301369863
Bob McAdoo,1975,31.115384615384617
Moses Malone,1981,31.11111111111111
Giannis Antetokounmpo,2022,31.095238095238095
Allen Iverson,2000,31.08450704225352
Karl Malone,1989,30.975609756097562
Jerry West,1964,30.972972972972972
Jerry West,1961,30.8
Oscar Robertson,1961,30.78481012658228
Dominique Wilkins,1987,30.73076923076923
Adrian Dantley,1982,30.727272727272727
Allen Iverson,2004,30.69333333333333
Adrian Dantley,1980,30.65
Rick Barry,1974,30.625
Adrian Dantley,1983,30.60759493670886
Joel Embiid,2021,30.573529411764707
Bob McAdoo,1973,30.554054054054053
Bradley Beal,2019,30.54385964912281
Oscar Robertson,1966,30.531645569620252
Oscar Robertson,1960,30.492957746478872
James Harden,2017,30.430555555555557
Oscar Robertson,1964,30.386666666666667
Michael Jordan,1995,30.378048780487806
Adrian Dantley,1981,30.333333333333332
Dominique Wilkins,1985,30.333333333333332
LeBron James,2021,30.267857142857142
World Free,1979,30.220588235294116
Dwyane Wade,2008,30.20253164556962
Kareem Abdul-Jabbar,1972,30.157894736842106
Kevin Durant,2009,30.146341463414632
Jayson Tatum,2022,30.06756756756757
Stephen Curry,2015,30.063291139240505
Michael Jordan,1991,30.05
Kobe Bryant,2002,30.01219512195122
LeBron James,2007,30.0
Kareem Abdul-Jabbar,1974,29.984615384615385
Damian Lillard,2019,29.96969696969697
Larry Bird,1987,29.93421052631579
Giannis Antetokounmpo,2021,29.880597014925375
Dominique Wilkins,1992,29.87323943661972
Kevin Durant,2021,29.87272727272727
Adrian Dantley,1985,29.82894736842105
Alex English,1985,29.80246913580247
David Robinson,1993,29.7875
Bob Rule,1970,29.75
Jerry Stackhouse,2000,29.75
LeBron James,2009,29.710526315789473
Shaquille O'Neal,1999,29.670886075949365
Michael Jordan,1996,29.646341463414632
Trae Young,2019,29.633333333333333
Elgin Baylor,1959,29.62857142857143
George Gervin,1978,29.5625
Richie Guerin,1961,29.525641025641026
Mark Aguirre,1983,29.49367088607595
Giannis Antetokounmpo,2019,29.476190476190474
Stephen Curry,2022,29.428571428571427
Kiki Vandeweghe,1983,29.423076923076923
Shaquille O'Neal,1993,29.34567901234568
Gilbert Arenas,2005,29.325
Shaquille O'Neal,1994,29.303797468354432
Bob Pettit,1958,29.23611111111111
Spencer Haywood,1972,29.233766233766232
Oscar Robertson,1967,29.16923076923077
James Harden,2016,29.08641975308642
Karl Malone,1988,29.075
Kevin Durant,2022,29.06382978723404
Karl Malone,1990,29.048780487804876
Dominique Wilkins,1986,29.037974683544302
James Harden,2015,28.975609756097562
Carmelo Anthony,2006,28.93846153846154
Isaiah Thomas,2016,28.93421052631579
LeBron James,2022,28.90909090909091
John Havlicek,1970,28.864197530864196
Luka Doncic,2019,28.83606557377049
Kareem Abdul-Jabbar,1969,28.79268292682927
Damian Lillard,2020,28.776119402985074
World Free,1978,28.76923076923077
Michael Jordan,1997,28.74390243902439
Shaquille O'Neal,2000,28.716216216216218
Larry Bird,1984,28.6875
Jerry West,1963,28.666666666666668
Jerry West,1966,28.666666666666668
Elvin Hayes,1970,28.658536585365855
Carmelo Anthony,2012,28.65671641791045
Patrick Ewing,1989,28.621951219512194
Alex English,1986,28.597560975609756
Kobe Bryant,2000,28.5
Joel Embiid,2020,28.45098039215686
Gilbert Arenas,2006,28.445945945945947
LeBron James,2008,28.444444444444443
Luka Doncic,2021,28.415384615384614
Allen Iverson,1999,28.414285714285715
Bernard King,1990,28.390625
Elvin Hayes,1968,28.378048780487806
Bob Pettit,1962,28.367088607594937
Alex English,1982,28.365853658536587
Trae Young,2021,28.355263157894736
Kobe Bryant,2007,28.329268292682926
Shaquille O'Neal,1997,28.316666666666666
Oscar Robertson,1962,28.3
Charles Barkley,1987,28.3
Donovan Mitchell,2022,28.264705882352942
Nate Archibald,1971,28.223684210526315
Michael Jordan,1984,28.20731707317073
Kevin Durant,2015,28.180555555555557
Carmelo Anthony,2009,28.159420289855074
Russell Westbrook,2014,28.149253731343283
Kevin Durant,2012,28.14814814814815
Giannis Antetokounmpo,2020,28.147540983606557
Anthony Davis,2017,28.133333333333333
Dominique Wilkins,1991,28.071428571428573
Larry Bird,1986,28.054054054054053
Karl Malone,1991,28.049382716049383
Paul George,2018,28.038961038961038
Kevin Durant,2011,28.03030303030303
Tracy McGrady,2003,28.029850746268657
Purvis Short,1984,28.025641025641026
Anthony Davis,2016,27.986666666666668
Adrian Dantley,1979,27.985294117647058
Alex English,1984,27.925925925925927
Walt Bellamy,1962,27.9125
Bob Pettit,1960,27.894736842105264
DeMar DeRozan,2021,27.86842105263158
Kobe Bryant,2011,27.862068965517242
Hakeem Olajuwon,1994,27.84722222222222
George Yardley,1957,27.791666666666668
Moses Malone,1980,27.775
Devin Booker,2022,27.754716981132077
Kareem Abdul-Jabbar,1975,27.74390243902439
Luka Doncic,2020,27.727272727272727
Pete Maravich,1973,27.723684210526315
Kevin Durant,2010,27.705128205128204
Giannis Antetokounmpo,2018,27.694444444444443
Karl Malone,1987,27.658536585365855
David Robinson,1994,27.62962962962963
Vince Carter,2000,27.6
Charles Barkley,1990,27.597014925373134
Allen Iverson,2002,27.585365853658537
Kobe Bryant,2004,27.560606060606062
Joel Embiid,2018,27.515625
Elvin Hayes,1969,27.51219512195122
Shaquille O'Neal,2002,27.47761194029851
Dale Ellis,1988,27.475609756097562
John Havlicek,1971,27.463414634146343
LeBron James,2017,27.451219512195124
Kyrie Irving,2021,27.448275862068964
Ja Morant,2021,27.43859649122807
Zach LaVine,2020,27.43103448275862
Carmelo Anthony,2013,27.428571428571427
Karl Malone,1996,27.426829268292682
Kyrie Irving,2019,27.4
Dwyane Wade,2006,27.392156862745097
Bob Pettit,1963,27.375
Dominique Wilkins,1984,27.37037037037037
James Harden,2014,27.37037037037037
LeBron James,2018,27.363636363636363
Kobe Bryant,2012,27.346153846153847
Wilt Chamberlain,1969,27.333333333333332
LeBron James,2006,27.333333333333332
Hakeem Olajuwon,1993,27.3
DeMar DeRozan,2016,27.2972972972973
Stephen Curry,2018,27.26086956521739
Russell Westbrook,2019,27.24561403508772
George Gervin,1977,27.21951219512195
Clyde Drexler,1988,27.21794871794872
Dwyane Wade,2005,27.2
Shaquille O'Neal,2001,27.19402985074627
LeBron James,2004,27.1875
Tom Chambers,1989,27.17283950617284
David Thompson,1977,27.15
Elgin Baylor,1964,27.14864864864865
LeBron James,2011,27.14516129032258
LeBron James,2013,27.12987012987013
Chris Webber,2000,27.114285714285714
Dave Bing,1967,27.11392405063291
George Gervin,1980,27.085365853658537
Nikola Jokic,2021,27.08108108108108
Jerry West,1962,27.072727272727274
Kawhi Leonard,2019,27.07017543859649
Lou Hudson,1972,27.053333333333335
Kyrie Irving,2022,27.05
Kareem Abdul-Jabbar,1973,27.049382716049383
Pete Maravich,1977,27.04
