Season,Team,Value
1979,1610612747,1.5810075478321926
1976,1610612746,1.5326782449725778
1967,1610612758,1.5103980986333927
1968,1610612765,1.4511378848728247
1977,1610612747,1.4446321321321323
1969,1610612764,1.4392537313432836
1972,1610612747,1.4375
1967,1610612747,1.422063492063492
1969,1610612758,1.4178456591639872
1977,1610612765,1.4173045697054047
1968,1610612756,1.3982300884955752
1971,1610612745,1.3955006010647433
1978,1610612738,1.3931962025316456
1968,1610612741,1.3851477740366631
1978,1610612755,1.3849858827437302
1970,1610612755,1.365390749601276
1969,1610612747,1.3532094594594595
1973,1610612745,1.3294938917975567
1969,1610612765,1.3216634429400387
1967,1610612765,1.3143607705779334
1967,1610612755,1.3104180491041804
1972,1610612755,1.303021978021978
1969,1610612756,1.3
1971,1610612758,1.2852159468438538
1971,1610612755,1.2804325955734406
1965,1610612752,1.2696705922512372
1978,1610612762,1.2580709051297285
1968,1610612758,1.254192546583851
1977,1610612762,1.2515290519877675
1980,1610612739,1.2514900662251656
1960,1610612744,1.2395279470885747
1961,1610612744,1.2386984600099356
1966,1610612755,1.237705918242831
1972,1610612737,1.228304222252785
1969,1610612741,1.225907725907726
1965,1610612765,1.225
1975,1610612745,1.2217457886676875
1973,1610612746,1.2205090909090908
1965,1610612764,1.218761318362912
1971,1610612749,1.211706102117061
1965,1610612755,1.2071851661086788
1977,1610612738,1.2058823529411764
1979,1610612751,1.199792315680166
1972,1610612757,1.197411003236246
1970,1610612737,1.1877922077922078
1968,1610612749,1.1872727272727273
1972,1610612745,1.1871352613150046
1965,1610612737,1.1852272727272726
1972,1610612746,1.1838323353293414
1977,1610612751,1.1780205655526992
1972,1610612756,1.1752967262292944
1959,1610612744,1.1736376830716453
1968,1610612755,1.1716078238405707
1960,1610612755,1.168883465527761
1968,1610612752,1.16791277258567
1970,1610612758,1.1658043853165803
1969,1610612744,1.1639760837070254
1962,1610612747,1.158871473354232
1981,1610612760,1.158670520231214
1967,1610612764,1.156885308784043
1966,1610612758,1.1532217782217782
1970,1610612741,1.150484131253362
1966,1610612764,1.148274917853231
1960,1610612765,1.1472972972972972
1968,1610612738,1.143023406181301
1978,1610612754,1.1420204978038067
1971,1610612747,1.1386593204775022
1978,1610612756,1.1365620736698498
1957,1610612755,1.1323008849557523
1963,1610612758,1.1308080808080807
1958,1610612738,1.1298893984353926
1961,1610612758,1.1257861635220126
1965,1610612747,1.1239562507350347
1968,1610612747,1.1201168309602045
1960,1610612738,1.1197916666666667
1981,1610612759,1.1174121405750799
1961,1610612738,1.1168170252139717
1967,1610612737,1.1149658141301595
1978,1610612765,1.1136363636363635
1971,1610612737,1.111620553359684
1977,1610612746,1.1106283422459893
1964,1610612747,1.1088911088911089
1974,1610612758,1.1088191330343797
1976,1610612743,1.1083106267029972
1970,1610612749,1.106338028169014
1974,1610612747,1.1054290718038529
1970,1610612764,1.105106272680145
1955,1610612738,1.1044862518089724
1955,1610612744,1.1034328358208954
1960,1610612758,1.0999886505504484
1977,1610612755,1.098356779761201
1963,1610612744,1.0983042203238556
1972,1610612739,1.0974612129760226
1958,1610612747,1.09454806312769
1975,1610612739,1.0925666199158486
1978,1610612759,1.0922676327408583
1978,1610612751,1.0919354838709678
1970,1610612745,1.0917387697048715
1973,1610612744,1.0893375241779497
1981,1610612743,1.0881672971836907
1969,1610612760,1.0864812508648125
1977,1610612764,1.0863013698630137
1969,1610612755,1.0848524305555556
1959,1610612737,1.0818713450292399
1980,1610612743,1.0818089430894309
1961,1610612765,1.0817001180637544
1970,1610612747,1.078268876611418
1975,1610612741,1.0782324058919803
1957,1610612738,1.0772999455634187
1979,1610612749,1.076158940397351
1979,1610612746,1.072457857531267
1968,1610612760,1.07193098871931
1969,1610612737,1.0677011494252875
1959,1610612738,1.0658675799086759
1966,1610612765,1.065028901734104
1977,1610612744,1.0627717391304348
1980,1610612738,1.0624702522608283
1977,1610612743,1.0620410230438084
1978,1610612758,1.061219482272114
1971,1610612741,1.0606491659123238
1985,1610612757,1.0599514843479265
1984,1610612759,1.0591800356506238
1961,1610612755,1.056098090277778
1961,1610612747,1.054704837993786
1956,1610612738,1.0546017450042218
1960,1610612737,1.049731182795699
1970,1610612757,1.0445319961795607
1977,1610612758,1.0415045395590143
1959,1610612758,1.0407262640272348
1977,1610612749,1.0403152124257653
1963,1610612764,1.0398496240601502
1974,1610612737,1.0395488721804511
1979,1610612759,1.0394002789400278
1962,1610612758,1.0391579406631763
1978,1610612741,1.038238559269767
1957,1610612752,1.0369791666666666
1979,1610612745,1.0355409995147986
1966,1610612747,1.032159930465015
1968,1610612745,1.031413612565445
1964,1610612755,1.0296727272727273
1978,1610612745,1.029366134751773
1986,1610612747,1.0292022792022792
1978,1610612739,1.0275900124155055
1972,1610612744,1.0222873900293257
1979,1610612738,1.0206302425753797
1980,1610612749,1.0196768165329229
1971,1610612760,1.0193637621023512
1979,1610612765,1.0190796857463524
1966,1610612744,1.017869980486803
1965,1610612758,1.0174696180555556
1977,1610612760,1.016515638702134
1968,1610612744,1.0157811080835604
1975,1610612746,1.0138056785621254
1966,1610612737,1.013210039630119
1956,1610612747,1.0126530050887086
1985,1610612759,1.0102166420482521
1971,1610612756,1.0097222222222222
1977,1610612759,1.008230452674897
1972,1610612760,1.0067385444743935
1973,1610612747,1.0047476261869066
1972,1610612764,1.0045761078998072
1979,1610612755,1.0025676937441643
1980,1610612759,1.002111580351189
1955,1610612755,1.000860832137733
1960,1610612747,1.0001106684373617
1971,1610612738,0.9971590909090909
1980,1610612742,0.9963320463320464
1974,1610612756,0.9959349593495935
1954,1610612738,0.9955022488755622
1953,1610612747,0.9953051643192489
1978,1610612764,0.993987341772152
1966,1610612738,0.9930127414714344
1962,1610612765,0.9925925925925926
1980,1610612752,0.9919291559242237
1962,1610612738,0.9916247906197655
1979,1610612739,0.9910056350238405
1973,1610612741,0.9898725128082926
1967,1610612744,0.9896885955867188
1958,1610612765,0.9889924889924889
1964,1610612758,0.9885281385281385
1967,1610612738,0.9870439469320066
1965,1610612744,0.986235595390525
1979,1610612760,0.9851622190233639
1966,1610612752,0.985054347826087
1978,1610612737,0.9836221220033231
1988,1610612758,0.9830528284244974
1975,1610612756,0.9819245082402976
1968,1610612764,0.981283422459893
1969,1610612745,0.9806529625151148
1974,1610612746,0.9796472184531887
1970,1610612765,0.9784351972258344
1974,1610612752,0.978386167146974
1979,1610612737,0.9783665532328634
1967,1610612741,0.9783549783549783
1971,1610612752,0.9783434650455928
1980,1610612757,0.9779279279279279
1973,1610612749,0.9733520336605891
1984,1610612742,0.9726845924029023
1979,1610612756,0.9719696969696969
1980,1610612756,0.9703066164604626
1988,1610612747,0.9700907590759077
